VfBHSwC5Vz_pbFluy07i9Q,My girlfriend and I stayed here for 3 nights and loved it.,"0,0,0,0,0,0",0.3,0.587142857
VfBHSwC5Vz_pbFluy07i9Q,The location of this hotel and very decent price makes this an amazing deal.,"0,0,0,0.3,0.3,0",0.6,0.587142857
VfBHSwC5Vz_pbFluy07i9Q,"When you walk out the front door Scott Monument and Princes street are right in front of you, Edinburgh Castle and the Royal Mile is a 2 minute walk via a close right around the corner, and there are so many hidden gems nearby including Calton Hill and the newly opened Arches that made this location incredible.","0,0,0,1,0,0",1,0.587142857
VfBHSwC5Vz_pbFluy07i9Q,"The hotel itself was also very nice with a reasonably priced bar, very considerate staff, and small but comfortable rooms with excellent bathrooms and showers.","0.5,0.4,0,1,0.4,0.4",0.5,0.587142857
VfBHSwC5Vz_pbFluy07i9Q,"Only two minor complaints are no telephones in room for room service (not a huge deal for us) and no AC in the room, but they have huge windows which can be fully opened.","0.8,0,0,0,0,0",1,0.587142857
VfBHSwC5Vz_pbFluy07i9Q,"The staff were incredible though, letting us borrow umbrellas for the rain, giving us maps and directions, and also when we had lost our only UK adapter for charging our phones gave us a very fancy one for free.","0.3,0,0,0,0,0.7",0.6,0.587142857
VfBHSwC5Vz_pbFluy07i9Q,"I would highly recommend this hotel to friends, and when I return to Edinburgh (which I most definitely will) I will be staying here without any hesitation.","0,0,0,0,0,0",0.4,0.587142857
3zRpneRKDsOPq92tq7ybAA,If you need an inexpensive place to stay for a night or two then you may consider this place but for a longer stay I'd recommend somewhere with better amenities.,"0.2,0,0,0,0.8,0",0.4,0.58875
3zRpneRKDsOPq92tq7ybAA,"Pros:Great location- you're right by the train station, central location to get to old town and new town, and right by sight seeing his tours.","0,0,0,1,0,0",0.6,0.58875
3zRpneRKDsOPq92tq7ybAA,"Food, bars, and shopping all within walking distance.","0,0,0,1,0,0",0.9,0.58875
3zRpneRKDsOPq92tq7ybAA,"Location, location, location.","0,0,0,0.3,0,0",0.9,0.58875
3zRpneRKDsOPq92tq7ybAA,"Very clean and very good maid serviceCons:Tiny rooms Uncomfortable bed Absolutely no amenities No phone in room No wardrobe Was given a lot of attitude about me and my husband sharing a room which was quite strange and we were charged 15 pounds more for double occupancy not sure why that matters I felt like it was a money grab.","0.8,0.3,0,0,0,0.8",0.6,0.58875
